,product_url,product_code,product_title,category,gender,color,sale_price,mrp,discount,star_rating,no_of_reviews,description,details
0,https://www.adidas.co.in/js-bones-campus-80-shoes/HQ4493.html,HQ4493,JS Bones Campus 80 Shoes,Originals,Men,Core Black / Cloud White / Cloud White,13 999,13 999,0,0.0,0,"Wild and unexpected ideas are the Jeremy Scott signature. Here, the designer goes prehistoric, applying removable bones and a faux fur tongue to the classic adidas Campus shoes. Wherever you wear the premium leather silhouette, you'll turn heads and make a statement.","['Lace closure', 'Leather upper', 'Leather lining', 'Rubber outsole', 'Color: Core Black / Cloud White / Cloud White', 'Product code: HQ4493']"
1,https://www.adidas.co.in/samba-vegan-shoes/H01877.html,H01877,Samba Vegan Shoes,Originals,Men,Cloud White / Core Black / Gum,8 999,8 999,0,4.6,121,"First introduced as an indoor football shoe, the adidas Samba has gone on to cover expansive ground. After their time on the field, these shoes made their mark on stages and streets across the globe. Today they look toward a more conscious future. Done up in faux leather, the revamped icon has eliminated any usage of animal based materials. The look is exactly the same as the original, right down to the famous T-toe.

Made with vegan alternatives to animal-derived ingredients or materials.","['Lace closure', 'Synthetic upper made with minimum 50% recycled materials', 'Rubber outsole', 'Color: Cloud White / Core Black / Gum', 'Product code: H01877']"
2,https://www.adidas.co.in/samba-vegan-shoes/H01878.html,H01878,Samba Vegan Shoes,Originals,Men,Cloud White / Core Black / Gum,8 999,8 999,0,4.6,121,"First introduced as an indoor football shoe, the adidas Samba has gone on to cover expansive ground. After their time on the field, these shoes made their mark on stages and streets across the globe. Today they look toward a more conscious future. Done up in faux leather, the revamped icon has eliminated any usage of animal based materials. The look is exactly the same as the original, right down to the famous T-toe.

Made with vegan alternatives to animal-derived ingredients or materials.","['Lace closure', 'Synthetic upper made with minimum 50% recycled materials', 'Rubber outsole', 'Color: Cloud White / Core Black / Gum', 'Product code: H01878']"
3,https://www.adidas.co.in/ultraboost-dna-5-shoes/GX3028.html,GX3028,Ultraboost DNA 5 Shoes,Sportswear,Women,Core White / Core White / Light Purple,7 200,17 999,60,4.8,17,Any time you're on your feet is a good time to wear these Ultraboost DNA shoes. Energy-returning BOOST in the midsole and a foot-hugging adidas PRIMEKNIT upper provide the comfort and performance that runners love.,"['Regular fit', 'Lace closure', 'adidas PRIMEKNIT textile upper', 'BOOST midsole', 'Weight: 328 g', 'Midsole drop: 10 mm (heel: 22 mm / forefoot: 12 mm)', 'Stretchweb outsole with Continental™ Rubber', 'Yarn in upper contains at least 50% Parley Ocean Plastic\u202fand 50% recycled polyester', 'Color: Core White / Core White / Light Purple', 'Product code: GX3028']"
4,https://www.adidas.co.in/ultraboost-22-shoes/GZ0127.html,GZ0127,Ultraboost 22 Shoes,Running,Men,Core Black / Core Black / Core Black,17 999,17 999,0,4.7,3314,"These Ultraboost running shoes serve up comfort and responsiveness. You'll be riding on a BOOST midsole for endless energy, with a Linear Energy Push system and a Continental™ Rubber outsole. This shoe's upper is made with a high-performance yarn which contains at least 50% Parley Ocean Plastic —  reimagined plastic waste, intercepted on remote islands, beaches, coastal communities and shorelines, preventing it from polluting our ocean.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT textile upper', 'Soft heel fit', 'Linear Energy Push system', 'BOOST midsole', 'Weight: 333 g (size UK 8.5)', 'Stretchweb outsole with Continental™ Better Rubber', 'Yarn in upper contains at least 50% Parley Ocean Plastic \u202fand 50% recycled polyester', 'Color: Core Black / Core Black / Core Black', 'Product code: GZ0127']"
7,https://www.adidas.co.in/ultraboost-light-shoes/HP3343.html,HP3343,Ultraboost Light Shoes,Running,Unisex,Lucid Blue / Coral Fusion / Blue Fusion,18 999,18 999,0,4.8,24,"Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date. With hundreds of BOOST capsules bursting with energy and ultimate cushioning and comfort, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 293 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Lucid Blue / Coral Fusion / Blue Fusion', 'Product code: HP3343']"
9,https://www.adidas.co.in/pureboost-22-shoes/HQ1454.html,HQ1454,Pureboost 22 Shoes,Running,Men,Wonder Steel / Almost Yellow / Legend Ink,7 199,11 999,40,4.3,144,"You don't need a lot to go running. A snack, a playlist and these adidas running shoes will keep you going for the next few miles. Cushioned and responsive, Pureboost is an ultra-comfortable training shoe for short daily runs. adidas BOOST delivers incredible energy return with each step, and the Stretchweb rubber outsole flexes underfoot for an energised ride.","['Regular fit', 'Lace closure', 'Engineered mesh upper', 'Cushioned, responsive feel', 'Textile lining', 'Boost midsole', 'Midsole drop: 10 mm (heel: 20 mm / forefoot: 10 mm)', 'Stretchweb rubber outsole', 'Color: Wonder Steel / Almost Yellow / Legend Ink', 'Product code: HQ1454']"
10,https://www.adidas.co.in/supa-beam-m/GB2543.html,GB2543,SUPA BEAM M,Running,Men,Core Black / Magic Beige / Core Black,2 799,5 599,50,3.9,99,SUPA BEAM SHOES,"['CUSHIONED RUNNING SHOES MADE WITH EXTRA TO PROVIDE MAXIMUM COMFORT', 'Product colour:   Core Black/Magic Beige/Core Black', 'Regular fit', 'Lace closure', 'Textile upper', 'Bounce midsole', 'Textile lining', 'Rubber outsole', 'Color: Core Black / Magic Beige / Core Black', 'Product code: GB2543']"
11,https://www.adidas.co.in/ultraboost-light-shoes/HQ6351.html,HQ6351,Ultraboost Light Shoes,Running,Unisex,Cloud White / Core Black / Solar Red,18 999,18 999,0,4.8,24,"Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date and boasts a 10% lower carbon footprint than previous models (for more information see FAQs below). With hundreds of BOOST capsules bursting with energy and ultimate cushioning and comfort, some feet really can have it all.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 293 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Cloud White / Core Black / Solar Red', 'Product code: HQ6351']"
12,https://www.adidas.co.in/ultraboost-light-shoes/HQ6339.html,HQ6339,Ultraboost Light Shoes,Running,Unisex,Core Black / Grey Six / Cloud White,18 999,18 999,0,4.8,24,"BOOST turns 10! After a decade of energising runners around the world, we are stepping out with an even lighter shoe — the Ultraboost Light. Experience epic energy with the new Ultraboost Light, our lightest Ultraboost ever. The magic lies in the Light BOOST midsole, a new generation of adidas BOOST. Its unique molecule design achieves the lightest BOOST foam to date and boasts a 10% lower carbon footprint than previous models (for more information see FAQs below). To celebrate 10 years of BOOST, this special shoe goes back to the first ever BOOST colourway.","['Regular fit', 'Lace closure', 'adidas PRIMEKNIT+ textile upper', 'Textile lining', 'Linear Energy Push system', 'Light BOOST', 'Weight: 293 g (size U.K. 8.5)', 'Midsole drop: 10 mm (heel: 22 mm, forefoot: 12 mm)', 'Continental™ Better Rubber outsole', 'Yarn in upper contains at least 50% Parley Ocean Plastic and 50% recycled polyester / Minimum 10% less emissions per pair when compared to a previous version', 'Color: Core Black / Grey Six / Cloud White', 'Product code: HQ6339']"
13,https://www.adidas.co.in/x-speedportal.4-flexible-ground-boots/GZ2461.html,GZ2461,X Speedportal.4 Flexible Ground Boots,Football,Unisex,Team Shock Pink 2 / Cloud White / Core Black,5 299,5 299,0,1.0,1,"Mind. Body. Boot. Connected in the blink of an eye. Pull on adidas X Speedportal to unlock speed in all its dimensions. Soft and durable, the coated textile upper on these football boots is designed to keep you comfortable during high-speed dribbling. Underneath, a versatile outsole delivers stability on firm ground, hard ground and artificial grass.

Made with a series of recycled materials, this upper features at least 50% recycled content. This product represents just one of our solutions to help end plastic waste.","['Regular fit', 'Lace closure', 'Coated textile upper', 'Textile lining', 'Flexible ground outsole', 'Upper contains a minimum of 50% recycled content', 'Color: Team Shock Pink 2 / Cloud White / Core Black', 'Product code: GZ2461']"
